"Title","Description","Priority","Status","Assignee","Created","Completed","Labels","Estimate"
"LOAN-01A-BE-01 Loan products config (terms, rates, fees)","Goal: Create loan product configuration to avoid hardcoding rules.

Acceptance criteria:
- DB schema for loan_products including: repayment_frequency=WEEKLY, term_weeks, interest_model, interest_rate, application_fee, grace_period_days
- API endpoints: GET/POST/PUT loan products (admin-only)
- Seed at least 1 default product for testing","High","Backlog","","2026-03-03","","Backend, Loans",""
"LOAN-01A-BE-02 Loan application schema + statuses","Goal: Support loan application lifecycle states.

Acceptance criteria:
- DB tables: loan_applications, loan_guarantors (link to members), committee_reviews (optional table or fields)
- Statuses: PENDING_FEE, PENDING_GUARANTORS, PENDING_LOAN_OFFICER_VERIFICATION, PENDING_COMMITTEE_APPROVAL, APPROVED, REJECTED
- Audit fields + indexes by member_id and status","High","Backlog","","2026-03-03","","Backend, Loans",""
"LOAN-01A-BE-03 Application fee payment (M-Pesa STK) + GL posting","Goal: Application requires an application fee (auto-confirmed).

Acceptance criteria:
- Endpoint to initiate application fee STK push for an application
- Callback updates payment status
- On SUCCESS: post GL journal using template Application Fee
- Application transitions from PENDING_FEE -> PENDING_GUARANTORS
- Idempotent callback handling (no double-posting)","High","Backlog","","2026-03-03","","Backend, Loans, Payments, Accounting",""
"LOAN-01A-BE-04 Guarantors capture + validation","Goal: Capture guarantors for loan application.

Acceptance criteria:
- API to add/remove guarantors on an application
- Prevent duplicates; max guarantors configurable per product (optional)
- Read endpoint returns guarantors list","Medium","Backlog","","2026-03-03","","Backend, Loans",""
"LOAN-01A-BE-05 Loan officer verification & approval","Acceptance criteria:
- Permission: LOANS_APPROVE
- Endpoints: verify/approve/reject application
- On approve: transitions to PENDING_COMMITTEE_APPROVAL (or APPROVED if committee step disabled)
- Audit log: who approved/rejected and when","High","Backlog","","2026-03-03","","Backend, Loans",""
"LOAN-01A-BE-06 Committee approval step","Acceptance criteria:
- Permission: LOANS_COMMITTEE_APPROVE
- Endpoint: approve/reject at committee stage
- Audit log for committee decision
- On approve: application status -> APPROVED","High","Backlog","","2026-03-03","","Backend, Loans",""
"LOAN-01B-BE-01 Disbursement (Treasurer only) + GL posting","Goal: Treasurer disburses approved loans (not Loans Officer).

Acceptance criteria:
- Permission: LOANS_DISBURSE
- Endpoint: POST /loans/{id}/disburse
- Only allowed when application status APPROVED
- Create loan record + set disbursement_date
- Post GL journal (Disbursement template)
- Loan enters IN_GRACE state for grace_period_days","High","Backlog","","2026-03-03","","Backend, Loans, Accounting",""
"LOAN-01C-BE-01 Loan schedule generation (weekly) with countdown","Goal: Generate fixed weekly due schedule that advances with time regardless of payment.

Acceptance criteria:
- Create schedule table: loan_schedule_items (week_no, due_date, amount_due, status)
- First due date = disbursement_date + grace_period_days (aligned to weekly cadence)
- Generate N weeks according to product.term_weeks
- Status transitions: DUE -> OVERDUE -> PAID (as payments are applied)","High","Backlog","","2026-03-03","","Backend, Loans",""
"LOAN-01C-BE-02 Weekly schedule job (advance periods + mark overdue)","Acceptance criteria:
- Job runs daily (or weekly) to mark items past due as OVERDUE if not fully covered
- Must not depend on 'payment attempts'—overdue is based on due_date
- Emits/creates penalty trigger event for missed/underpaid installments (wired to PEN module)","High","Backlog","","2026-03-03","","Backend, Loans, Penalties",""
"LOAN-01D-BE-01 M-Pesa loan repayment (STK) initiate + callback","Goal: Repayments are NOT manual; they are posted automatically via M-Pesa callbacks.

Acceptance criteria:
- Endpoint for member to initiate STK push repayment for own loan
- Callback updates payment SUCCESS/FAILED
- On SUCCESS: create loan_repayment record and apply allocation engine
- Idempotent: prevent double posting if callback retries","High","Backlog","","2026-03-03","","Backend, Loans, Payments",""
